user_id,item_id,action,timestamp
5298817027,4990835797525853,Attitude,01-25
7888402085,4990835797525853,Attitude,01-25
2070451161,4990835797525853,Attitude,01-25
7891879144,4990835797525853,Attitude,01-25
6032957380,4990835797525853,Attitude,01-25
7832685941,4990835797525853,Attitude,01-25
7804833307,4990835797525853,Attitude,01-25
5484581204,4990835797525853,Attitude,01-25
7880498974,4990835797525853,Attitude,01-25
7882818700,4990835797525853,Attitude,01-25
7240392424,4990835797525853,Attitude,01-25
6449301079,4990835797525853,Attitude,01-25
7674319829,4990835797525853,Attitude,01-25
1111121744,4990835797525853,Attitude,01-25
6205698251,4990835797525853,Attitude,01-25
7066257483,4990835797525853,Attitude,01-25
1762710055,4990835797525853,Attitude,01-25
5796505699,4990835797525853,Attitude,01-25
7800940516,4990835797525853,Attitude,01-24
6741530468,4990835797525853,Attitude,01-24
7644201131,4990835797525853,Attitude,01-24
5335708768,4990835797525853,Attitude,01-24
6142676471,4990835797525853,Attitude,01-24
7869805822,4990835797525853,Attitude,01-24
7645447251,4990835797525853,Attitude,01-24
5810219963,4990835797525853,Attitude,01-24
5587424162,4990835797525853,Attitude,01-24
6353150360,4990835797525853,Attitude,01-24
7895028627,4990835797525853,Attitude,01-24
6046245828,4990835797525853,Attitude,01-24
6606512808,4990835797525853,Attitude,01-24
7736240536,4990835797525853,Attitude,01-24
7315128838,4990835797525853,Attitude,01-24
7897024067,4990835797525853,Attitude,01-24
7752453688,4990835797525853,Attitude,01-24
7657799908,4990835797525853,Attitude,01-24
7868022947,4990835797525853,Attitude,01-24
2953503971,4990835797525853,Attitude,01-24
7709056036,4990835797525853,Attitude,01-24
7438285824,4990835797525853,Attitude,01-24
6435834928,4990835797525853,Attitude,01-24
6641324893,4990835797525853,Attitude,01-24
7757158966,4990835797525853,Attitude,01-24
5367644463,4990835797525853,Attitude,01-24
2857623485,4990835797525853,Attitude,01-24
7847553678,4990835797525853,Attitude,01-24
7796929247,4990835797525853,Attitude,01-24
7654768804,4990835797525853,Attitude,01-24
7817563971,4990835797525853,Attitude,01-24
6452789576,4990835797525853,Attitude,01-24
7823305486,4990835797525853,Attitude,01-23
7384287491,4990835797525853,Attitude,01-23
6520157209,4990835797525853,Attitude,01-23
7837365167,4990835797525853,Attitude,01-23
7892721475,4990835797525853,Attitude,01-23
7779430544,4990835797525853,Attitude,01-23
7838146626,4990835797525853,Attitude,01-23
7836652023,4990835797525853,Attitude,01-23
7821639974,4990835797525853,Attitude,01-23
1915101213,4990835797525853,Attitude,01-23
2329754070,4990835797525853,Attitude,01-23
3919295876,4990835797525853,Attitude,01-23
7752012478,4990835797525853,Attitude,01-23
7815623095,4990835797525853,Attitude,01-23
6563623192,4990835797525853,Attitude,01-23
7793589651,4990835797525853,Attitude,01-23
7812776909,4990835797525853,Attitude,01-23
7388869281,4990835797525853,Attitude,01-23
5738345844,4990835797525853,Attitude,01-23
6708645212,4990835797525853,Attitude,01-23
7891199523,4990835797525853,Attitude,01-23
7898349228,4990835797525853,Attitude,01-23
7846367460,4990835797525853,Attitude,01-23
7895419703,4990835797525853,Attitude,01-23
6804183828,4990835797525853,Attitude,01-23
7832573586,4990835797525853,Attitude,01-23
7845502262,4990835797525853,Attitude,01-23
6129621668,4990835797525853,Attitude,01-23
7311071888,4990835797525853,Attitude,01-23
3816111238,4990835797525853,Attitude,01-23
7301513034,4990835797525853,Attitude,01-23
7767792596,4990835797525853,Attitude,01-23
7078711525,4990835797525853,Attitude,01-23
7553002829,4990835797525853,Attitude,01-23
6342366744,4990835797525853,Attitude,01-23
6544561850,4990835797525853,Attitude,01-23
6192214963,4990835797525853,Attitude,01-23
